"loss","profit","macd_level","target_stability","balance"
"0.003","0.01","0.15","3","410.0"
"0.003","0.01","0.15","4","410.0"
"0.003","0.01","0.15","6","410.0"
"0.003","0.01","0.2","0","852.0"
"0.003","0.01","0.2","1","456.0"
"0.003","0.01","0.2","2","456.0"
"0.003","0.01","0.2","3","456.0"
"0.003","0.01","0.2","4","456.0"
"0.003","0.01","0.2","6","456.0"
"0.003","0.01","0.25","0","762.0"
"0.003","0.01","0.25","1","366.0"
"0.003","0.01","0.25","2","366.0"
"0.003","0.01","0.25","3","366.0"
"0.003","0.01","0.25","4","366.0"
"0.003","0.01","0.25","6","366.0"
"0.003","0.01","0.3","0","762.0"
"0.003","0.01","0.3","1","366.0"
"0.003","0.01","0.3","2","366.0"
"0.003","0.01","0.3","3","366.0"
"0.003","0.01","0.3","4","366.0"
"0.003","0.01","0.3","6","366.0"
"0.003","0.01","0.35","0","1174.0"
"0.003","0.01","0.35","1","465.0"
"0.003","0.01","0.35","2","465.0"
"0.003","0.01","0.35","3","465.0"
"0.003","0.01","0.35","4","465.0"
"0.003","0.01","0.35","6","465.0"
"0.003","0.01","0.4","0","799.0"
"0.003","0.01","0.4","1","77.0"
"0.003","0.01","0.4","2","77.0"
"0.003","0.01","0.4","3","77.0"
"0.003","0.01","0.4","4","77.0"
"0.003","0.01","0.4","6","77.0"
"0.003","0.01","0.45","0","396.0"
"0.003","0.01","0.45","1","248.0"
"0.003","0.01","0.45","2","248.0"
"0.003","0.01","0.45","3","248.0"
"0.003","0.01","0.45","4","248.0"
"0.003","0.01","0.45","6","248.0"
"0.003","0.01","0.5","0","-319.0"
"0.003","0.01","0.5","1","-468.0"
"0.003","0.01","0.5","2","-468.0"
"0.003","0.01","0.5","3","-468.0"
"0.003","0.01","0.5","4","-468.0"
"0.003","0.01","0.5","6","-468.0"
"0.004","0.01","0.05","0","669.0"
"0.004","0.01","0.05","1","411.0"
"0.004","0.01","0.05","2","411.0"
"0.004","0.01","0.05","3","411.0"
"0.004","0.01","0.05","4","411.0"
"0.004","0.01","0.05","6","411.0"
"0.004","0.01","0.1","0","1045.0"
"0.004","0.01","0.1","1","250.0"
"0.004","0.01","0.1","2","250.0"
