"date","amount","sum","action","price","status","income","balance","source"
"2021-01-25 08:00:00",200,54332.51200000001,"sell",271.66256000000004,"close",-163.48799999999528,-1038.1560000000027,"stop_loss"
"2021-01-25 09:00:00",200,-53898.0,"buy",269.49,"close",0,-54936.156,"strategy"
"2021-01-25 09:00:00",200,53736.306000000004,"sell",268.68153,"close",-161.69399999999996,-1199.8499999999985,"stop_loss"
"2021-01-25 10:00:00",200,53764.0,"sell",268.82,"close",0,52564.15,"strategy"
"2021-01-25 10:00:00",200,-53925.292,"buy",269.62646,"close",-161.2920000000031,-1361.1419999999998,"stop_loss"
"2021-01-25 11:00:00",200,-53905.99999999999,"buy",269.53,"close",0,-55267.14199999999,"strategy"
"2021-01-25 12:00:00",200,53814.0,"sell",269.07,"close",-91.99999999999591,-1453.1419999999925,"strategy"
"2021-01-25 13:00:00",200,53412.0,"sell",267.06,"close",0,51958.85800000001,"strategy"
"2021-01-25 16:00:00",200,-52520.00000000001,"buy",262.6,"close",891.9999999999959,-561.1419999999998,"strategy"
"2021-01-25 17:00:00",200,52870.00000000001,"sell",264.35,"close",0,52308.85800000001,"strategy"
"2021-01-25 18:00:00",200,-52890.0,"buy",264.45,"close",-19.99999999999318,-581.1419999999925,"strategy"
"2021-01-25 19:00:00",200,-52988.0,"buy",264.94,"close",0,-53569.14199999999,"strategy"
"2021-01-26 07:00:00",200,52829.03599999999,"sell",264.14518,"close",-158.96400000000313,-740.1059999999998,"stop_loss"
"2021-01-26 08:00:00",200,-52912.0,"buy",264.56,"close",0,-53652.106,"strategy"
"2021-01-26 15:00:00",200,53640.0,"sell",268.2,"close",727.9999999999973,-12.105999999999767,"strategy"
"2021-01-26 16:00:00",200,53634.0,"sell",268.17,"close",0,53621.894,"strategy"
"2021-01-26 19:00:00",200,-53794.902,"buy",268.97451,"close",-160.90199999999868,-173.00800000000163,"stop_loss"
"2021-01-26 20:00:00",200,-53800.0,"buy",269.0,"close",0,-53973.008,"strategy"
"2021-01-27 12:00:00",200,54032.00000000001,"sell",270.16,"close",232.000000000005,58.992000000005646,"strategy"
"2021-01-27 13:00:00",200,53512.0,"sell",267.56,"close",0,53570.992000000006,"strategy"
"2021-01-27 13:00:00",200,-53672.536,"buy",268.36268,"close",-160.53600000000188,-101.54399999999441,"stop_loss"
"2021-01-27 14:00:00",200,53414.0,"sell",267.07,"close",0,53312.456000000006,"strategy"
"2021-01-27 15:00:00",200,-53574.242000000006,"buy",267.87121,"close",-160.2420000000052,-261.78600000000006,"stop_loss"
"2021-01-27 16:00:00",200,53320.00000000001,"sell",266.6,"close",0,53058.21400000001,"strategy"
"2021-01-27 17:00:00",200,-53479.96000000001,"buy",267.3998,"close",-159.96000000000095,-421.7459999999992,"stop_loss"
"2021-01-27 18:00:00",200,-53474.0,"buy",267.37,"close",0,-53895.746,"strategy"
"2021-01-27 19:00:00",200,53313.577999999994,"sell",266.56789,"close",-160.42200000000548,-582.1680000000051,"stop_loss"
"2021-01-27 20:00:00",200,53204.0,"sell",266.02,"close",0,52621.831999999995,"strategy"
"2021-01-28 10:00:00",200,-52705.99999999999,"buy",263.53,"close",498.0000000000018,-84.16799999999785,"strategy"
"2021-01-28 11:00:00",200,-52698.0,"buy",263.49,"close",0,-52782.168,"strategy"
"2021-01-28 12:00:00",200,52539.905999999995,"sell",262.69953,"close",-158.0940000000055,-242.26200000000244,"stop_loss"
"2021-01-28 13:00:00",200,-52754.0,"buy",263.77,"close",0,-52996.262,"strategy"
"2021-01-29 07:00:00",200,52595.738,"sell",262.97869,"close",-158.262000000002,-400.5240000000049,"stop_loss"
"2021-01-29 08:00:00",200,52432.00000000001,"sell",262.16,"close",0,52031.476,"strategy"
